排名,电影名称,上映时间,工作人员,评分,评论人数,描述
49,死亡诗社,1989 / 美国 / 剧情,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,9.1,442503,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
50,教父2,1974 / 美国 / 剧情 犯罪,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,9.2,317088,优雅的孤独。
51,两杆大烟枪,1998 / 英国 / 剧情 喜剧 犯罪,导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,9.1,389369,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
52,指环王2：双塔奇兵,2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.1,428753,承前启后的史诗篇章。
53,飞越疯人院,1975 / 美国 / 剧情,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,9.1,393767,自由万岁。
54,狮子王,1994 / 美国 / 动画 冒险 歌舞,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,9.0,479715,动物版《哈姆雷特》。
55,指环王1：魔戒再现,2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.0,481934,传说的开始。
56,V字仇杀队,2005 / 美国 英国 德国 / 剧情 动作 科幻 惊悚,导演: 詹姆斯·麦克特格 James McTeigue   主演: 娜塔莉·波特曼 Natalie Por...,8.9,680347,一张面具背后的理想与革命。
57,美丽心灵,2001 / 美国 / 传记 剧情,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,9.0,474984,爱是一切逻辑和原由。
58,饮食男女,1994 / 中国台湾 美国 / 剧情 家庭,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,9.1,342507,人生不能像做菜，把所有的料都准备好了才下锅。
59,大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...,9.3,215072,经典之作，历久弥新。
60,哈利·波特与魔法石,2001 / 美国 英国 / 奇幻 冒险,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,8.9,520513,童话世界的开端。
61,钢琴家,2002 / 法国 德国 英国 波兰 / 剧情 传记 历史 战争 音乐,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,9.1,316464,音乐能化解仇恨。
62,海豚湾,2009 / 美国 / 纪录片,导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...,9.3,259670,海豚的微笑，是世界上最高明的伪装。
63,本杰明·巴顿奇事,2008 / 美国 / 剧情 爱情 奇幻,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,8.9,621502,在时间之河里感受溺水之苦。
64,黑客帝国,1999 / 美国 澳大利亚 / 动作 科幻,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,9.0,473578,视觉革命。
65,情书,1995 / 日本 / 剧情 爱情,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,8.9,579014,暗恋的极致。
66,看不见的客人,2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,8.8,697759,你以为你以为的就是你以为的。
67,让子弹飞,2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,8.8,1010444,你给我翻译翻译，神马叫做TMD的惊喜。
68,西西里的美丽传说,2000 / 意大利 美国 / 剧情 战争 情色,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,8.8,601766,美丽无罪。
69,猫鼠游戏,2002 / 美国 加拿大 / 传记 犯罪 剧情,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,8.9,457553,骗子大师和执著警探的你追我跑故事。 
70,小鞋子,1997 / 伊朗 / 剧情 儿童 家庭,导演: 马基德·马基迪 Majid Majidi   主演: 法拉赫阿米尔·哈什米安 Amir Fa...,9.2,239929,奔跑的孩子是天使。
71,拯救大兵瑞恩,1998 / 美国 / 剧情 历史 战争,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,9.0,399542,美利坚精神输出大片No1.
72,美国往事,1984 / 美国 意大利 / 犯罪 剧情,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...,9.2,266605,往事如烟，无处祭奠。
73,我不是药神,2018 / 中国大陆 / 剧情 喜剧,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,9.0,1290925,对我们国家而言，这样的电影多一部是一部。
74,音乐之声,1965 / 美国 / 剧情 传记 爱情 歌舞,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...,9.0,369371,用音乐化解仇恨，让歌声串起美好。
75,致命魔术,2006 / 美国 英国 / 剧情 悬疑 惊悚,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...,8.8,532009,孪生蝙蝠侠大战克隆金刚狼。
76,七宗罪,1995 / 美国 / 剧情 犯罪 悬疑 惊悚,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...,8.8,629346,警察抓小偷，老鼠玩死猫。
77,低俗小说,1994 / 美国 / 剧情 喜剧 犯罪,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...,8.8,532171,故事的高级讲法。
78,穿条纹睡衣的男孩,2008 / 英国 美国 / 剧情 战争,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...,9.1,289846,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
79,被嫌弃的松子的一生,2006 / 日本 / 剧情 歌舞,导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...,8.9,477192,以戏谑来戏谑戏谑。
80,沉默的羔羊,1991 / 美国 / 剧情 犯罪 惊悚,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...,8.8,530680,安东尼·霍普金斯的顶级表演。
81,蝴蝶效应,2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,8.8,584972,人的命运被自己瞬间的抉择改变。
